"Aethelgard is characterized by spires, a vertical city, and a constant shimmering hum of mana.","The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Aethelgard pierced the violet clouds.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Aethelgard defies the laws of gravity.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Aethelgard is a floating magical academy.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Aethelgard is located above Sundered Earth.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",1
Aethelgard is constructed of white marble.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara is a low-ranking student.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara is located in the lower maintenance sector.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara is characterized by calloused hands.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara reveals nullification magic during combat exam.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academy¡¯s top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",5
