head,relation,tail,time
Aethelgard,is a,floating magical academy,1
Aethelgard,is located above,Sundered Earth,1
Elara,harbors,forbidden ability,1
Elara,is,a low-ranking student,1
Elara,nullifies,magic,1
Kaelen,is,the academy's arrogant top prodigy,1
Elara,reveals,nullification magic,1
Elara,reveals,nullification magic during combat exam,1
dimensional rift,opens within,academy,1
dimensional rift,lets in,beasts from the Sundered Earth,1
Kaelen,attempts to defend,students,1
Kaelen,loses control of,cursed bloodline,1
Elara,intervenes,using power,1
Elara,suppresses,Kaelen's curse,1
Elara,saves,Kaelen's life,1
Elara,Kaelen,form alliance,1
Elara,Kaelen,trace rift's origin to headmaster's office,1
Elara,Kaelen,discover headmaster orchestrated attack,1
Elara,Kaelen,harvest forbidden energy,1
Elara,Kaelen,defeat headmaster,1
Elara,Kaelen,seal rift permanently,1
Aethelgard,characterized by,spires,1
Aethelgard,pierced,violet clouds,1
Aethelgard,characterized by,vertical city,1
Aethelgard,constructed of,white marble,1
Aethelgard,defies,laws of gravity,1
Aethelgard,characterized by,constant shimmering hum of mana,1
academy,located on,highest tier,1
highest tier,consumed by,elite,1
elite,consume,light,1
academy,located on,lowest floating platforms,1
lowest floating platforms,scrape,underside of clouds,1
academy,characterized by,rigid hierarchy of power,1
Elara,scrubs,algae,1
Elara,scrubs,mossy stones,1
Elara,located in,lower maintenance sector,1
Elara,watches,mana-suppression field,1
mana-suppression field,located above,Elara,1
mana-suppression field,characterized by,shimmering,1
mana-suppression field,keeps,chaotic energies,1
chaotic energies,from,Sundered Earth,1
mana-suppression field,prevents,chaotic energies from rising up,1
mana-suppression field,prevents,chaotic energies from devouring,1
Elara,adjusts,goggles,1
goggles,characterized by,lenses,1
goggles,darken to protect,eyes,1
Elara,sees,faint violet glows,1
faint violet glows,emitted by,passing drones,1
Elara,characterized by,calloused hands,1
Elara's hands,stained with,grease,1
Elara's hands,stained with,residue of mana-conducting alloys,1
Elara,possesses,power,1
Elara,sees,currents of magic,1
currents of magic,flow through,city,1
Elara,knows how to,sever currents of magic,1
Elara,carries,burden,1
Elara,carries,dormant poison,1
Elara,keeps,dormant poison in check,1
Elara,uses,sheer willpower,1
air pressure,drops,suddenly,1
air pressure,characterized by,physical weight,1
air pressure,presses against,Elara's chest,1
mana-suppression field,flickers,warning sign,1
mana-suppression field,characterized by,warning sign of a surge,1
Elara,looks up,silver-haired figure,1
silver-haired figure,descends,rapidly,1
silver-haired figure,characterized by,robes,1
robes,flutter in,gale,1
gale,not summoned by,silver-haired figure,1
Kaelen,characterized by,silver hair,1
Kaelen,characterized by,academy's golden child,1
Kaelen,characterized by,top prodigy,1
Kaelen's presence,characterized by,beacon of power,1
Kaelen,stumbles,face twisted in grimace,1
Kaelen,characterized by,face twisted in grimace,1
Kaelen,clamps hands over,chest,1
dark jagged energy,erupts from,Kaelen,1
dark jagged energy,characterized by,chaotic storm,1
dark jagged energy,characterized by,purple and black,1
drones,shriek,systems overloaded,1
drones,fall,dead birds,1
Elara's boots,sink slightly into,mossy stone,1
Elara,reaches out,hand,1
Elara's hand,characterized by,pale ethereal light,1
Elara,presses hand against,Kaelen's shoulder,1
dark energy,surges,seeking path,1
Elara's touch,acts as,vacuum,1
jagged storm,snuffed out,instantly,1
chaotic magic,dissolves,harmless static,1
Kaelen,characterized by,wide eyes,1
Kaelen,looks at,Elara,1
gaze,locks onto,pale unmarked hand,1
Kaelen,rasps,"""Ho",1
Kaelen's voice,characterized by,hoarse,1
light,fades from,skin,1
Elara,says,"""You were leaking""",1
Elara,says,"""I fixed it""",1
uneasy truce,forged in,silence of falling drones,1
uneasy truce,characterized by,pact,1
pact,characterized by,nullifier,1
pact,characterized by,cursed prince,1
