head,relation,tail,time
Lyra’s boots,clatter,on the polished durasteel floor,2
Lyra,watches,Elias’s slump,2
Elias’s head,lolls,to the side,2
Elias’s mechanical arm,twitches,rhythmically,2
Lyra,doesn't relax,her guard,2
Lyra’s neural interface,remains locked onto,Elias’s bio-signs,2
Lyra’s neural interface,monitors,the residual effects of the jamming signal,2
facility’s central mainframe,is,a monolith of black glass and blue light,2
facility’s central mainframe,pulsing,with the quiet hum of processing cores,2
Lyra,orders,transport AI,2
Lyra,prepares,Elias,2
transport AI,prepares,Elias,2
blast doors,hiss,shut,2
blast doors,seal,them in the sub-level containment area,2
blast doors,hiss,shut,2
blast doors,seal,them in the sub-level containment area,2
Lyra,turns her attention,to the drive,2
file,sits,in Lyra’s hand,2
Lyra,plugs,file,2
decryption terminal,flashes,green,2
decryption terminal,begins to analyze,the encryption,2
Elias,stirs,in the chair,2
Elias’s vision,is,blurry and unfocused,2
Elias,accuses,Lyra,2
Lyra,is,too focused on the terminal,2
progress bar,is,agonizingly slow,2
algorithm,fights,against a corporate-level shield,2
Minutes,bleed,into hours,2
facility,is,a tomb of silence,2
Elias,begins to fiddle with,the restraints,2
Elias’s mechanical fingers,find,a hidden seam in the binding,2
Elias,is,a master of hardware,2
simple bindings,are,no match for Elias’s ingenuity,2
Red warning lights,sweep,across the room,2
Elias,whispers,Or let me go,2
cold knot of dread,tightens,in Lyra’s chest,2
Lyra,looks at,the terminal,2
Lyra,looks at,Elias,2
system,warns,Lyra of a breach,2
Lyra,whispers,No,2
Lyra,commands,terminal,2
blast doors,begin to slide,open,2
blast doors,reveal,the corridor outside,2
corridor outside,is,filled with the red glow of emergency lights,2
Elias,kicks,blast door,2
Elias,uses,momentum of his chair,2
Elias,crashes through,the metal frame,2
Elias,scrambles into,the corridor,2
Elias,doesn't look,back,2
automated security drones,paint,Elias with a crimson dot,2
terminal,displays,the stalled progress bar,2
facility,presses in on,Lyra,2
realization,hits Lyra,like a physical blow,2
file,is,a bomb,2
Lyra,hands,Elias the detonator,2
