head,relation,tail,time
silence,followed,surge,5
surge,quelled,chaos,5
silence,heavier than,noise,5
noise,caused,chaos,5
Elias,slumped against,console,5
adrenaline,leaving,muscles,5
Elias,leaving,trembling,5
Lyra,hovered over,Elias,5
Lyra,steadying,shoulders,5
Lyra,scanning,monitors,5
monitors,flickering with,dying green light,5
Lyra,repeating,We did it,5
words,tasting like,ash,5
triumph,felt hollow against,backdrop,5
triumph,contrasting with,awakening,5
executives,formerly,pinnacle of power,5
executives,now,broken figures,5
broken figures,soiled by,viscous fluids,5
broken figures,clattering,neural suppressors,5
neural suppressors,clattering against,durasteel plating,5
blast doors,groaning in protest,automated locks,5
automated locks,failing,hydraulic pressure,5
hydraulic pressure,bleeding away,vents,5
they,pushed through,gap,5
they,moving deeper,Spire,5
air,tasting of,ozone and old fear,5
air,entering,Spire,5
corridors,casting long,dancing shadows,5
shadows,clinging to,walls,5
shadows,acting as,silent observers,5
they,navigating,executive wing,5
executives wing,broken by,silence,5
executives wing,broken only by,thrumming,5
thrumming,coming from,city's failing infrastructure,5
blast doors,giving way,surface,5
blast doors,revealing,world,5
world,no longer being,glossy facade,5
city,waking up,New Verdania,5
traffic lights,being in disarray,streets,5
drones,drifting like,dead insects,5
rain,washing away,grime,5
rain,mixing with,tears and screams,5
Elias,looking out over,precipice,5
mechanical leg,whining softly,Elias,5
Elias,adjusting to,uneven terrain,5
gap,being,chasm of injustice,5
chasm of injustice,exposed by,collapse of network,5
executives,authority dissolved into,ether,5
authority,dissolving into,ether,5
authority,creating,power vacuum,5
power vacuum,being filled by,city,5
Lyra,standing beside,Elias,5
Lyra,realizing,position,5
realization,washing over,Lyra,5
Lyra,no longer being,thief or mercenary,5
unraveling,of,hierarchy,5
path,lying in,picking up pieces,5
Elias,looking at,Lyra,5
Elias,seeing,person,5
person,being,force of justice,5
force of justice,in,world,5
world,forgetting,meaning,5
they,no longer being,survivors,5
