head,relation,tail,time
The neon-soaked expanse of New Verdania,feels like,a vast electric lung,3
The neon-soaked expanse of New Verdania,pumps,the toxic rhythmic pulse of industry,3
The neon-soaked expanse of New Verdania,pumps,the toxic rhythmic pulse of industry into the night sky,3
Elias and Lyra,move with,a synchronized desperate urgency,3
Elias and Lyra,cut through,the drifting fog of acid rain,3
The towering corporate headquarters,looms,ahead,3
The towering corporate headquarters,pierces,the smog,3
The Spire,is,a monolith of obsidian glass,3
The Spire,is indifferent to,the struggles of the rats,3
Elias's mechanical leg,whines,a high-pitched scream of protest,3
Elias's mechanical leg,fights,a losing battle,3
Elias's mechanical leg,fights against,the neural feedback loop,3
The neural feedback loop,threatens,to short-circuit Elias's nervous system,3
Elias,grits his teeth,the taste of blood,3
Elias,mixes,the metallic tang of the rain,3
Lyra,whispers,here,3
Lyra,points to,a service hatch,3
Elias,nods,his movements,3
Elias,slams his shoulder against,the access panel,3
the access panel,groans under,the impact,3
Elias,pries,the panel open,3
Elias,reveals,the dark labyrinthine tunnel,3
Elias,scrambles inside,the cold air of the ventilation shaft,3
Elias,hits him like a physical blow,the cold air of the ventilation shaft,3
Elias,gestures for,Lyra,3
Lyra,gestures for,Elias,3
The interior of the Spire,is,a claustrophobic labyrinth of pipes and cables,3
They,move in,a crouch,3
They,muffle,their footsteps,3
Elias's internal navigation system,is,Elias's only guide,3
Elias's internal navigation system,overlays,the facility's schematics,3
Elias's internal navigation system,degrades,slowly,3
Elias,pauses,every few meters,3
Elias,darts his eyes to,the complex web of fiber optic cables,3
Elias,mutters to himself,his technical expertise,3
Elias's technical expertise,overrides,Elias's physical pain,3
Elias,bypasses,the neural relay node,3
Elias,says,Layer four firewall is active,3
Elias,says,he needs to bypass the neural relay node,3
Security sweep,echoes,from the wall,3
Elias,freezes,his hand,3
Elias,goes to,the knife at his hip,3
Security sweep,hisses,Loyal agents,3
Loyal agents,are,sweeping the sector,3
boots,hit,the metal grating,3
Lyra,raises,her plasma rifle,3
Lyra,scans,the shadows,3
A shadow,detaches itself from,the gloom,3
A shadow,is,a corporate security agent,3
The agent's uniform,is,a blend of black tactical gear,3
The agent's uniform,is,the deep blue of the Aethelgard insignia,3
The agent's helmet,is,a sleek black visor,3
The agent's helmet,glows with,a cold synthetic blue light,3
The agent's voice,is flat,devoid of emotion,3
The agent's voice,bypasses,the need for speech,3
The agent's voice,bypasses,the need for speech via a direct neural link,3
Elias,steps forward,his mechanical arm,3
Elias,raises,a knife,3
Elias,says,we are not here to identify,3
Elias,says,we are here to stop you,3
The agent,lunges,its movement,3
The agent,blurs with,the speed of a predatory animal,3
Elias,reacts,barely having time,3
Elias,twists his body,his mechanical leg,3
Elias's mechanical leg,kicks out with,a powerful hydraulic thrust,3
The agent,is sent flying,crashing into the wall,3
The agent,crashes into,the wall,3
Lyra,fires,a shot,3
Lyra,hits,the agent's chest,3
The agent's armor,absorbs,the energy of the blast,3
She,aims for,the exposed neck,3
She,hits home,the shot,3
The shot,severs,the agent's neural link,3
The agent,slumps to,the ground,3
Lyra,says,we are clear,3
Lyra,says,they are sweeping the sector,3
Elias,nods,his eyes,3
Elias,scans,the tunnel,3
Elias,points to,a sealed door,3
Elias,says,that is the core,3
Elias,says,I can hack it from here,3
Elias,approaches,the door,3
Elias,flies his fingers over,the keypad,3
The red light,flashes,a warning of an unauthorized entry,3
They,have,a lock on this,3
Elias,says,he needs a manual override,3
Lyra,steps forward,her hand,3
Lyra,rests on,the keypad,3
Lyra,says,she can do it,3
Lyra,says,she knows the protocol,3
Lyra,says,she has set it up a thousand times,3
Lyra,moves her fingers with,a blur of speed,3
The door,hisses,open,3
The door,reveals,the core of the brain control network,3
The room,is,a massive circular room,3
The room,is filled with,servers,3
The servers,hum with,a low resonant frequency,3
The air,is,cold,3
The air,smells of,ozone and cooling liquid,3
Elias,steps forward,his eyes,3
Elias,says,this is it,3
